category;year;month;number month;description;cost
saida;2024;Fevereiro;2;Tarifas Bancárias; 239.69 
saida;2024;Fevereiro;2;Tarifas Administrativas; 9823.9 
saida;2024;Fevereiro;2;Zeladoria; 8944.67 
saida;2024;Fevereiro;2;Projetos; 27726.98 
saida;2024;Fevereiro;2;Contratos; 40014.03 
saida;2024;Março;3;Taxas de Cobrança; 0.00 
saida;2024;Março;3;Tarifas Bancárias; 245.08 
saida;2024;Março;3;Tarifas Administrativas; 9377.71 
saida;2024;Março;3;Zeladoria; 8972.21 
saida;2024;Março;3;Projetos; 19116.73 
saida;2024;Março;3;Contratos; 49989.8 
entrada;2023;Julho;7;Boletos IUGU; 65335.25 
entrada;2023;Agosto;8;Boletos IUGU; 81893.8 
entrada;2023;Setembro;9;Boletos IUGU; 92533.25 
entrada;2023;Outubro;10;Boletos IUGU; 88312.1 
entrada;2023;Novembro;11;Boletos IUGU; 117672.92 
entrada;2023;Dezembro;12;Boletos IUGU; 51699.13 
entrada;2023;Julho;7;Boletos Santander; 730.4 
entrada;2023;Julho;7;Estorno de Pagamentos; 3593.00 
entrada;2023;Agosto;8;Estorno de Pagamentos; 12147.74 
entrada;2023;Outubro;10;Estorno de Pagamentos; 806.00 
entrada;2023;Novembro;11;Estorno de Pagamentos; 17655.88 
entrada;2023;Dezembro;12;Estorno de Pagamentos; 10338.98 
entrada;2023;Julho;7;Investimentos; 2555.95 
entrada;2023;Agosto;8;Investimentos; 2928.25 
entrada;2023;Setembro;9;Investimentos; 2580.25 
entrada;2023;Outubro;10;Investimentos; 2399.92 
entrada;2023;Novembro;11;Investimentos; 2221.16 
entrada;2023;Dezembro;12;Investimentos; 2218.65 
entrada;2024;Janeiro;1;Boletos IUGU; 54971.37 
entrada;2024;Janeiro;1;Estorno de Pagamentos; 185.00 
entrada;2024;Janeiro;1;Investimentos; 2509.66 
entrada;2024;Fevereiro;2;Boletos IUGU; 61096.36 
entrada;2024;Fevereiro;2;Estorno de Pagamentos; 0.00 
entrada;2024;Fevereiro;2;Investimentos; 2068.44 
entrada;2024;Março;3;Boletos IUGU; 82773.13 
entrada;2024;Março;3;Estorno de Pagamentos; 3369.3 
entrada;2024;Março;3;Investimentos; 2089.77 
projetos;2023;Julho;7;Portão da quadra do C;980.00
projetos;2023;Setembro;9;Portas dos Blocos B e C;198.00
projetos;2023;Agosto;8;Portas dos Blocos B e C;1346.89
projetos;2023;Julho;7;Basculantes no bloco B;292.00
projetos;2023;Agosto;8;Basculantes no bloco B;23870.4
projetos;2023;Novembro;11;Basculantes no bloco B;33245.6
projetos;2023;Outubro;10;Reforma vidros do Hall do B;1612.00
projetos;2023;Setembro;9;Reforma vidros do Hall do B;8500.00
projetos;2023;Novembro;11;Reforma vidros do Hall do B;8500.00
projetos;2023;Novembro;11;Luzes de emergência;1290.00
projetos;2023;Novembro;11;Reforma no quiosque do Feijão;115.9
projetos;2023;Novembro;11;Decoração dos Halls;365.61
projetos;2023;Julho;7;Salas da reunião na Sala 1 do Gagá 8;9246.42
projetos;2023;Julho;7;Ferramentas para os zeladores;285.74
projetos;2023;Setembro;9;Ferramentas para os zeladores;318.4
projetos;2023;Novembro;11;Ferramentas para os zeladores;490.00
projetos;2023;Setembro;9;Mobílias e luminárias para a Sala 1 do Gagá 8;300.00
projetos;2023;Julho;7;Mobílias e luminárias para a Sala 1 do Gagá 8;4979.9
projetos;2023;Agosto;8;Mobílias e luminárias para a Sala 1 do Gagá 8;10118.14
projetos;2023;Setembro;9;Expansão do telhado da entrada do Bloco C;1605.9
projetos;2023;Agosto;8;Expansão do telhado da entrada do Bloco C;30045.63
projetos;2023;Setembro;9;Manutenção da frente do Hall do A;1160.00
projetos;2023;Agosto;8;Manutenção da frente do Hall do A;7653.5
projetos;2023;Setembro;9;Lâmpadas para áreas comuns 2° semestre;3798.59
projetos;2023;Outubro;10;Reforma da Sala Baja;1780.00
projetos;2023;Agosto;8;Reforma da Sala Baja;3696.00
projetos;2023;Setembro;9;Reforma da Sala Baja;8900.00
projetos;2023;Setembro;9;Compra de Lousas e Projetores;990.00
projetos;2023;Outubro;10;Compra de Lousas e Projetores;990.00
projetos;2023;Agosto;8;Compra de Lousas e Projetores;1390.00
projetos;2023;Novembro;11;Compra de Lousas e Projetores;1390.00
projetos;2023;Outubro;10;Estrutura da Copinha;1600.00
projetos;2023;Setembro;9;Estrutura da Copinha;13048.34
projetos;2023;Setembro;9;Compra de Cadeiras;4549.55
projetos;2023;Novembro;11;Câmeras H8;24886.7
projetos;2023;Novembro;11;Reforma Evtol;2080.63
projetos;2023;Outubro;10;Reforma Evtol;2871.00
projetos;2023;Novembro;11;Manutenção da Entrada do Bloco C;3639.00
projetos;2023;Outubro;10;Manutenção da Entrada do Bloco C;14000.00
projetos;2023;Outubro;10;Estrutura da Sala 3 do Gagá8;8000.00
projetos;2023;Novembro;11;Estrutura da Sala 3 do Gagá8;10103.34
projetos;2023;Novembro;11;Mobílias e Luminárias para a sala 3 do Gagá8;5243.97
projetos;2023;Outubro;10;Mobílias e Luminárias para a sala 3 do Gagá8;15420.45
projetos;2023;Dezembro;12;Ferramentas para os Zeladores - Áreas externas;746.36
projetos;2023;Dezembro;12;Mobiliários Copinha;2148.99
projetos;2023;Novembro;11;Mobiliários Copinha;9537.28
projetos;2023;Dezembro;12;Compra de materiais elétricos para Lavanderia;4444.3
projetos;2023;Dezembro;12;Instalação H8 novo;7000.00
projetos;2024;Janeiro;1;Banheiro do CASDvest;2506.59
projetos;2024;Janeiro;1;Reforma Evtol;4137.85
projetos;2024;Janeiro;1;Renovação Extintores;2621.9
projetos;2024;Fevereiro;2;Banheiro do CASDvest;16766.98
projetos;2024;Fevereiro;2;Reforma dos Telhados;10400.00
projetos;2024;Fevereiro;2;Reforma Evtol;560.00
projetos;2024;Março;3;Banheiro do CASDvest;1503.24
projetos;2024;Março;3;Mobílias EVTOL;2330.84
projetos;2024;Março;3;Bebedouro Bloco H;1619.55
projetos;2024;Março;3;Reforma da Sala do Casd;7056.00
projetos;2024;Março;3;Fechaduras eletrônicas;3627.00
projetos;2024;Março;3;Cadeiras da Sala do Casd;2980.00
zeladoria;2023;Julho;7;Áreas Externas; 159.6 
zeladoria;2023;Agosto;8;Áreas Externas; 437.48 
zeladoria;2023;Setembro;9;Áreas Externas; 1164.65 
zeladoria;2023;Outubro;10;Áreas Externas; 155.7 
zeladoria;2023;Julho;7;Hidráulica Geral; 334.6 
zeladoria;2023;Agosto;8;Hidráulica Geral; 991.5 
zeladoria;2023;Setembro;9;Hidráulica Geral; 927.00 
zeladoria;2023;Outubro;10;Hidráulica Geral; 570.1 
zeladoria;2023;Novembro;11;Hidráulica Geral; 1920.8 
zeladoria;2023;Dezembro;12;Hidráulica Geral; 155.3 
zeladoria;2023;Agosto;8;Elétrica Geral; 484.88 
zeladoria;2023;Setembro;9;Elétrica Geral; 118.2 
zeladoria;2023;Outubro;10;Elétrica Geral; 2090.01 
zeladoria;2023;Novembro;11;Elétrica Geral; 196.48 
zeladoria;2023;Dezembro;12;Elétrica Geral; 1180.57 
zeladoria;2023;Agosto;8;Piscina e Churrasqueira; 107.00 
zeladoria;2023;Julho;7;Halls; 21.06 
zeladoria;2023;Dezembro;12;Halls; 783.59 
zeladoria;2023;Dezembro;12;Lavanderia; 469.3 
zeladoria;2023;Julho;7;Apartamentos; 3897.00 
zeladoria;2023;Agosto;8;Apartamentos; 266.66 
zeladoria;2023;Setembro;9;Apartamentos; 638.4 
zeladoria;2023;Outubro;10;Apartamentos; 754.8 
zeladoria;2023;Novembro;11;Apartamentos; 712.01 
zeladoria;2023;Julho;7;Salas Comuns; 1038.45 
zeladoria;2023;Agosto;8;Salas Comuns; 3234.35 
zeladoria;2023;Setembro;9;Salas Comuns; 2723.37 
zeladoria;2023;Outubro;10;Salas Comuns; 3864.38 
zeladoria;2023;Novembro;11;Salas Comuns; 1373.18 
zeladoria;2023;Dezembro;12;Salas Comuns; 3025.17 
zeladoria;2023;Julho;7;ADM H8; 10.53 
zeladoria;2023;Agosto;8;ADM H8; 2378.36 
zeladoria;2023;Setembro;9;ADM H8; 131.75 
zeladoria;2023;Dezembro;12;ADM H8; 9647.36 
zeladoria;2023;Julho;7;Telhados; 769.41 
zeladoria;2023;Julho;7;Dedetização e desentupimento; 630.00 
zeladoria;2023;Agosto;8;Dedetização e desentupimento; 356.7 
zeladoria;2023;Setembro;9;Dedetização e desentupimento; 61.07 
zeladoria;2023;Outubro;10;Dedetização e desentupimento; 319.2 
zeladoria;2023;Novembro;11;Dedetização e desentupimento; 79.8 
zeladoria;2023;Julho;7;Material de Limpeza; 979.24 
zeladoria;2023;Agosto;8;Material de Limpeza; 1990.13 
zeladoria;2023;Setembro;9;Material de Limpeza; 2546.16 
zeladoria;2023;Outubro;10;Material de Limpeza; 1404.8 
zeladoria;2023;Novembro;11;Material de Limpeza; 2822.5 
zeladoria;2023;Dezembro;12;Material de Limpeza; 1373.01 
zeladoria;2024;Janeiro;1;Salas Comuns; 275.00 
zeladoria;2024;Janeiro;1;Salas Comuns; 2000.00 
zeladoria;2024;Janeiro;1;Salas Comuns; 525.00 
zeladoria;2024;Janeiro;1;Apartamentos; 261.5 
zeladoria;2024;Janeiro;1;Material de Limpeza; 305.3 
zeladoria;2024;Janeiro;1;Hidráulica Geral; 434.9 
zeladoria;2024;Janeiro;1;Elétrica Geral; 474.74 
zeladoria;2024;Janeiro;1;Material de Limpeza; 1067.95 
zeladoria;2024;Janeiro;1;Salas Comuns; 2876.46 
zeladoria;2024;Janeiro;1;Dedetização e desentupimento; 319.2 
zeladoria;2024;Fevereiro;2;Salas Comuns;2000.00
zeladoria;2024;Fevereiro;2;Salas Comuns;275.00
zeladoria;2024;Fevereiro;2;Lavanderia;1500.00
zeladoria;2024;Fevereiro;2;Piscinas e Churrasqueira;926.2
zeladoria;2024;Fevereiro;2;Dedetetização e Desentupimento;41.8
zeladoria;2024;Fevereiro;2;Dedetetização e Desentupimento;19.00
zeladoria;2024;Fevereiro;2;Salas Comuns;500.00
zeladoria;2024;Fevereiro;2;Apartamentos;522.4
zeladoria;2024;Fevereiro;2;Hidráulica Geral;975.1
zeladoria;2024;Fevereiro;2;Apartamentos;339.93
zeladoria;2024;Fevereiro;2;Material Limpeza;628.59
zeladoria;2024;Fevereiro;2;Elétrica Geral;1216.65
zeladoria;2024;Março;3;Áreas Externas;183.06
zeladoria;2024;Março;3;Hidráulica Geral;1667.00
zeladoria;2024;Março;3;Lavanderia;2135.9
zeladoria;2024;Março;3;Apartamentos;1542.19
zeladoria;2024;Março;3;Salas Comuns;869.49
zeladoria;2024;Março;3;Material de Limpeza;2574.57
contratos;2023;Julho;7;Manutenção e Limpeza da Piscina Mensal- Feijão; 329.94 
contratos;2023;Agosto;8;Manutenção e Limpeza da Piscina Mensal- Feijão; 329.93 
contratos;2023;Setembro;9;Manutenção e Limpeza da Piscina Mensal- Feijão; 330.36 
contratos;2023;Outubro;10;Manutenção e Limpeza da Piscina Mensal- Feijão; 407.41 
contratos;2023;Novembro;11;Manutenção e Limpeza da Piscina Mensal- Feijão; 405.74 
contratos;2023;Dezembro;12;Manutenção e Limpeza da Piscina Mensal- Feijão; 400.27 
contratos;2023;Julho;7;TecnoSystem - Manutenção das Cameras do H8; 370.00 
contratos;2023;Agosto;8;TecnoSystem - Manutenção das Cameras do H8; 350.00 
contratos;2023;Setembro;9;TecnoSystem - Manutenção das Cameras do H8; 370.00 
contratos;2023;Outubro;10;TecnoSystem - Manutenção das Cameras do H8; 370.00 
contratos;2023;Novembro;11;TecnoSystem - Manutenção das Cameras do H8; 370.00 
contratos;2023;Dezembro;12;TecnoSystem - Manutenção das Cameras do H8; 370.00 
contratos;2023;Julho;7;União Zeladoria - Zeladoria H8; 29147.97 
contratos;2023;Agosto;8;União Zeladoria - Zeladoria H8; 22395.7 
contratos;2023;Setembro;9;União Zeladoria - Zeladoria H8; 27280.47 
contratos;2023;Outubro;10;União Zeladoria - Zeladoria H8; 25163.71 
contratos;2023;Novembro;11;União Zeladoria - Zeladoria H8; 31728.3 
contratos;2023;Dezembro;12;União Zeladoria - Zeladoria H8; 33341.85 
contratos;2023;Julho;7;Copy Company - Locação Impressora; 100.00 
contratos;2023;Agosto;8;Copy Company - Locação Impressora; 200.00 
contratos;2023;Setembro;9;Copy Company - Locação Impressora; 200.00 
contratos;2023;Outubro;10;Copy Company - Locação Impressora; 200.00 
contratos;2023;Novembro;11;Copy Company - Locação Impressora; 200.00 
contratos;2023;Dezembro;12;Copy Company - Locação Impressora; 200.00 
contratos;2023;Julho;7;LavanderITA - Novo Contrato Anual; 2861.71 
contratos;2023;Agosto;8;LavanderITA - Novo Contrato Anual; 2861.71 
contratos;2023;Setembro;9;LavanderITA - Novo Contrato Anual; 2861.71 
contratos;2023;Outubro;10;LavanderITA - Novo Contrato Anual; 2861.71 
contratos;2023;Novembro;11;LavanderITA - Novo Contrato Anual; 2861.71 
contratos;2023;Dezembro;12;LavanderITA - Novo Contrato Anual; 2861.71 
contratos;2024;Janeiro;1;Manutenção e Limpeza da Piscina Mensal- Feijão; 400.66 
contratos;2024;Janeiro;1;TecnoSystem - Manutenção das Cameras do H8; 370.00 
contratos;2024;Janeiro;1;União Zeladoria - Zeladoria H8; 31454.00 
contratos;2024;Janeiro;1;Copy Company - Locação Impressora; 100.00 
contratos;2024;Janeiro;1;LavanderITA - Novo Contrato Anual; 2971.89 
contratos;2024;Fevereiro;2;Manutenção e Limpeza da Piscina Mensal- Feijão; 402.16 
contratos;2024;Fevereiro;2;TecnoSystem - Manutenção das Cameras do H8; 366.15 
contratos;2024;Fevereiro;2;União Zeladoria - Zeladoria H8; 35566.75 
contratos;2024;Fevereiro;2;Copy Company - Locação Impressora; 200.00 
contratos;2024;Fevereiro;2;LavanderITA - Novo Contrato Anual; 3478.97 
contratos;2024;Março;3;Manutenção e Limpeza da Piscina Mensal- Feijão; 400.71 
contratos;2024;Março;3;TecnoSystem - Manutenção das Cameras do H8; 365.00 
contratos;2024;Março;3;União Zeladoria - Zeladoria H8; 42680.09 
contratos;2024;Março;3;Copy Company - Locação Impressora; 200.00 
contratos;2024;Março;3;LavanderITA - Novo Contrato Anual; 6344.00 
adminstracao;2023;Julho;7;Funcionárias Executivas; 7340.00 
adminstracao;2023;Agosto;8;Funcionárias Executivas; 7340.00 
adminstracao;2023;Setembro;9;Funcionárias Executivas; 7340.00 
adminstracao;2023;Outubro;10;Funcionárias Executivas; 7340.00 
adminstracao;2023;Novembro;11;Funcionárias Executivas; 7340.00 
adminstracao;2023;Dezembro;12;Funcionárias Executivas; 7340.00 
adminstracao;2023;Julho;7;AEITA; 0.00 
adminstracao;2023;Agosto;8;AEITA; 4000.00 
adminstracao;2023;Setembro;9;AEITA; 2000.00 
adminstracao;2023;Outubro;10;AEITA; 2000.00 
adminstracao;2023;Novembro;11;AEITA; 2000.00 
adminstracao;2023;Dezembro;12;AEITA; 2000.00 
adminstracao;2023;Julho;7;Material de Escritório; 0.00 
adminstracao;2023;Agosto;8;Material de Escritório; 0.00 
adminstracao;2023;Setembro;9;Material de Escritório; 738.03 
adminstracao;2023;Outubro;10;Material de Escritório; 0.00 
adminstracao;2023;Novembro;11;Material de Escritório; 0.00 
adminstracao;2023;Dezembro;12;Material de Escritório; 0.00 
adminstracao;2024;Janeiro;1;Funcionárias Executivas;7340.00
adminstracao;2024;Janeiro;1;AEITA;2000.00
adminstracao;2024;Fevereiro;2;Funcionárias Executivas; 7340.00 
adminstracao;2024;Fevereiro;2;AEITA; 2000.00 
adminstracao;2024;Fevereiro;2;Material de Escritório; 483.9 
adminstracao;2024;Março;3;Funcionárias Executivas; 7340.00 
adminstracao;2024;Março;3;AEITA; 2000.00 
adminstracao;2024;Março;3;Material de Escritório; 37.71 
geral;2023;Julho;7;Saldo Inicial;541736.35
geral;2023;Agosto;8;Saldo Inicial;548214.43
geral;2023;Setembro;9;Saldo Inicial;517725.33
geral;2023;Outubro;10;Saldo Inicial;518540.18
geral;2023;Novembro;11;Saldo Inicial;514954.03
geral;2023;Dezembro;12;Saldo Inicial;497575.76
geral;2024;Janeiro;1;Saldo Inicial;483483.01
geral;2024;Fevereiro;2;Saldo Inicial;477782.64
geral;2024;Março;3;Saldo Inicial;453450.18
geral;2023;Julho;7;Saldo Final;548214.43
geral;2023;Agosto;8;Saldo Final;517725.33
geral;2023;Setembro;9;Saldo Final;518540.18
geral;2023;Outubro;10;Saldo Final;514954.03
geral;2023;Novembro;11;Saldo Final;497575.76
geral;2023;Dezembro;12;Saldo Final;483483.01
geral;2024;Janeiro;1;Saldo Final;477782.64
geral;2024;Fevereiro;2;Saldo Final;453450.18
geral;2024;Março;3;Saldo Final;453761.85
